Date,Hour,Route ID,Direction,Stop ID,Stop Sequence,Boardings,Alightings,Trips,Stop Name,Period
2025-01-02,2025-01-02 09:00:00,M66,E,403497,10,37,13,5,E 68 ST/LEXINGTON AV,Morning
2025-01-02,2025-01-02 10:00:00,M66,E,403492,6,10,1,3,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-02,2025-01-02 10:00:00,M66,E,403494,7,0,2,1,E 65 ST/5 AV,Morning
2025-01-02,2025-01-02 10:00:00,M66,E,404994,8,0,9,3,MADISON AV/E 65 ST,Morning
2025-01-02,2025-01-02 10:00:00,M66,E,403495,9,0,4,2,MADISON AV/E 67 ST,Morning
2025-01-02,2025-01-02 10:00:00,M66,E,403497,10,8,14,4,E 68 ST/LEXINGTON AV,Morning
2025-01-02,2025-01-02 15:00:00,M66,E,403492,6,21,3,6,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-02,2025-01-02 15:00:00,M66,E,403494,7,1,8,5,E 65 ST/5 AV,Evening
2025-01-02,2025-01-02 15:00:00,M66,E,404994,8,1,10,4,MADISON AV/E 65 ST,Evening
2025-01-02,2025-01-02 15:00:00,M66,E,403495,9,7,13,6,MADISON AV/E 67 ST,Evening
2025-01-02,2025-01-02 15:00:00,M66,E,403497,10,17,46,5,E 68 ST/LEXINGTON AV,Evening
2025-01-02,2025-01-02 16:00:00,M66,E,403492,6,20,5,7,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-02,2025-01-02 16:00:00,M66,E,403494,7,6,12,6,E 65 ST/5 AV,Evening
2025-01-02,2025-01-02 16:00:00,M66,E,404994,8,2,14,7,MADISON AV/E 65 ST,Evening
2025-01-02,2025-01-02 16:00:00,M66,E,403495,9,11,22,8,MADISON AV/E 67 ST,Evening
2025-01-02,2025-01-02 16:00:00,M66,E,403497,10,8,43,9,E 68 ST/LEXINGTON AV,Evening
2025-01-02,2025-01-02 17:00:00,M66,E,403492,6,25,5,5,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-02,2025-01-02 17:00:00,M66,E,403494,7,0,4,2,E 65 ST/5 AV,Evening
2025-01-02,2025-01-02 17:00:00,M66,E,404994,8,10,13,4,MADISON AV/E 65 ST,Evening
2025-01-02,2025-01-02 17:00:00,M66,E,403495,9,7,5,6,MADISON AV/E 67 ST,Evening
2025-01-02,2025-01-02 17:00:00,M66,E,403497,10,5,34,7,E 68 ST/LEXINGTON AV,Evening
2025-01-02,2025-01-02 18:00:00,M66,E,403492,6,12,0,4,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-02,2025-01-02 18:00:00,M66,E,403494,7,1,3,3,E 65 ST/5 AV,Evening
2025-01-02,2025-01-02 18:00:00,M66,E,404994,8,0,6,3,MADISON AV/E 65 ST,Evening
2025-01-02,2025-01-02 18:00:00,M66,E,403495,9,2,8,4,MADISON AV/E 67 ST,Evening
2025-01-02,2025-01-02 18:00:00,M66,E,403497,10,10,16,6,E 68 ST/LEXINGTON AV,Evening
2025-01-02,2025-01-02 19:00:00,M66,E,403492,6,5,0,3,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-02,2025-01-02 19:00:00,M66,E,404994,8,1,3,3,MADISON AV/E 65 ST,Evening
2025-01-02,2025-01-02 19:00:00,M66,E,403495,9,0,2,2,MADISON AV/E 67 ST,Evening
2025-01-02,2025-01-02 19:00:00,M66,E,403497,10,5,9,4,E 68 ST/LEXINGTON AV,Evening
2025-01-03,2025-01-03 06:00:00,M66,E,403492,6,14,0,4,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-03,2025-01-03 06:00:00,M66,E,403494,7,2,4,3,E 65 ST/5 AV,Morning
2025-01-03,2025-01-03 06:00:00,M66,E,404994,8,2,5,3,MADISON AV/E 65 ST,Morning
2025-01-03,2025-01-03 06:00:00,M66,E,403495,9,9,3,4,MADISON AV/E 67 ST,Morning
2025-01-03,2025-01-03 06:00:00,M66,E,403497,10,66,9,4,E 68 ST/LEXINGTON AV,Morning
2025-01-03,2025-01-03 07:00:00,M66,E,403492,6,12,1,4,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-03,2025-01-03 07:00:00,M66,E,403494,7,30,15,4,E 65 ST/5 AV,Morning
2025-01-03,2025-01-03 07:00:00,M66,E,404994,8,0,9,4,MADISON AV/E 65 ST,Morning
2025-01-03,2025-01-03 07:00:00,M66,E,403495,9,6,9,6,MADISON AV/E 67 ST,Morning
2025-01-03,2025-01-03 07:00:00,M66,E,403497,10,60,23,5,E 68 ST/LEXINGTON AV,Morning
2025-01-03,2025-01-03 08:00:00,M66,E,403492,6,18,2,8,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-03,2025-01-03 08:00:00,M66,E,403494,7,3,15,7,E 65 ST/5 AV,Morning
2025-01-03,2025-01-03 08:00:00,M66,E,404994,8,1,20,7,MADISON AV/E 65 ST,Morning
2025-01-03,2025-01-03 08:00:00,M66,E,403495,9,5,18,8,MADISON AV/E 67 ST,Morning
2025-01-03,2025-01-03 08:00:00,M66,E,403497,10,129,31,11,E 68 ST/LEXINGTON AV,Morning
2025-01-03,2025-01-03 09:00:00,M66,E,403492,6,14,0,4,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-03,2025-01-03 09:00:00,M66,E,403494,7,1,18,5,E 65 ST/5 AV,Morning
2025-01-03,2025-01-03 09:00:00,M66,E,404994,8,2,15,4,MADISON AV/E 65 ST,Morning
2025-01-03,2025-01-03 09:00:00,M66,E,403495,9,2,6,4,MADISON AV/E 67 ST,Morning
2025-01-03,2025-01-03 09:00:00,M66,E,403497,10,57,17,5,E 68 ST/LEXINGTON AV,Morning
2025-01-03,2025-01-03 10:00:00,M66,E,403492,6,40,1,4,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-03,2025-01-03 10:00:00,M66,E,403494,7,1,11,5,E 65 ST/5 AV,Morning
2025-01-03,2025-01-03 10:00:00,M66,E,404994,8,2,9,5,MADISON AV/E 65 ST,Morning
2025-01-03,2025-01-03 10:00:00,M66,E,403495,9,4,5,3,MADISON AV/E 67 ST,Morning
2025-01-03,2025-01-03 10:00:00,M66,E,403497,10,18,8,5,E 68 ST/LEXINGTON AV,Morning
2025-01-03,2025-01-03 15:00:00,M66,E,403492,6,26,1,5,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-03,2025-01-03 15:00:00,M66,E,403494,7,2,13,4,E 65 ST/5 AV,Evening
2025-01-03,2025-01-03 15:00:00,M66,E,404994,8,3,10,5,MADISON AV/E 65 ST,Evening
2025-01-03,2025-01-03 15:00:00,M66,E,403495,9,6,10,5,MADISON AV/E 67 ST,Evening
2025-01-03,2025-01-03 15:00:00,M66,E,403497,10,33,31,6,E 68 ST/LEXINGTON AV,Evening
2025-01-03,2025-01-03 16:00:00,M66,E,403492,6,13,2,7,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-03,2025-01-03 16:00:00,M66,E,403494,7,12,7,6,E 65 ST/5 AV,Evening
2025-01-03,2025-01-03 16:00:00,M66,E,404994,8,5,20,6,MADISON AV/E 65 ST,Evening
2025-01-03,2025-01-03 16:00:00,M66,E,403495,9,4,8,5,MADISON AV/E 67 ST,Evening
2025-01-03,2025-01-03 16:00:00,M66,E,403497,10,13,37,9,E 68 ST/LEXINGTON AV,Evening
2025-01-03,2025-01-03 17:00:00,M66,E,403492,6,24,1,7,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-03,2025-01-03 17:00:00,M66,E,403494,7,0,22,5,E 65 ST/5 AV,Evening
2025-01-03,2025-01-03 17:00:00,M66,E,404994,8,0,8,4,MADISON AV/E 65 ST,Evening
2025-01-03,2025-01-03 17:00:00,M66,E,403495,9,5,10,6,MADISON AV/E 67 ST,Evening
2025-01-03,2025-01-03 17:00:00,M66,E,403497,10,11,30,9,E 68 ST/LEXINGTON AV,Evening
2025-01-03,2025-01-03 18:00:00,M66,E,403492,6,16,0,6,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-03,2025-01-03 18:00:00,M66,E,403494,7,0,4,3,E 65 ST/5 AV,Evening
2025-01-03,2025-01-03 18:00:00,M66,E,404994,8,0,2,2,MADISON AV/E 65 ST,Evening
2025-01-03,2025-01-03 18:00:00,M66,E,403495,9,8,3,5,MADISON AV/E 67 ST,Evening
2025-01-03,2025-01-03 18:00:00,M66,E,403497,10,16,25,6,E 68 ST/LEXINGTON AV,Evening
2025-01-03,2025-01-03 19:00:00,M66,E,403492,6,3,0,2,W 65 ST/CENTRAL PARK WEST,Evening
2025-01-03,2025-01-03 19:00:00,M66,E,403494,7,1,3,2,E 65 ST/5 AV,Evening
2025-01-03,2025-01-03 19:00:00,M66,E,404994,8,0,2,2,MADISON AV/E 65 ST,Evening
2025-01-03,2025-01-03 19:00:00,M66,E,403495,9,1,2,2,MADISON AV/E 67 ST,Evening
2025-01-03,2025-01-03 19:00:00,M66,E,403497,10,4,6,3,E 68 ST/LEXINGTON AV,Evening
2025-01-06,2025-01-06 06:00:00,M66,E,403492,6,17,0,4,W 65 ST/CENTRAL PARK WEST,Morning
2025-01-06,2025-01-06 06:00:00,M66,E,403494,7,1,6,5,E 65 ST/5 AV,Morning
2025-01-06,2025-01-06 06:00:00,M66,E,404994,8,2,11,5,MADISON AV/E 65 ST,Morning
2025-01-06,2025-01-06 06:00:00,M66,E,403495,9,6,5,4,MADISON AV/E 67 ST,Morning
