Hour,Hour Label,Mean Boardings,Full-Route GTFS Trips
6,6–7 AM,12.914421553090333,5
7,7–8 AM,26.941085271317828,12
8,8–9 AM,32.24475524475525,12
9,9–10 AM,17.929347826086957,8
10,10–11 AM,10.319314641744548,6
15,3–4 PM,14.945945945945946,8
16,4–5 PM,12.546862896979086,12
17,5–6 PM,12.607858243451464,11
18,6–7 PM,9.729666924864446,8
19,7–8 PM,5.583876221498372,5
