Period,Technique,Service Plan,Mean Wait,Mean Backlog,Mean Peak Queue,Mean P95 Wait
Morning,GA,"(8, 9, 11, 9, 6)",3.488068196657662,1.8333333333333333,17.5,7.146190610752061
Evening,GA,"(11, 7, 9, 10, 7)",3.5321986491301183,0.9666666666666667,8.633333333333333,7.473238068140844
