stop_sequence,stop_id,stop_name
6,403492,W 65 ST/CENTRAL PARK WEST
7,403494,E 65 ST/5 AV
8,400027,MADISON AV/E 65 ST
9,405489,MADISON AV/E 67 ST
10,405627,E 68 ST/LEXINGTON AV
