Period,Metric,GTFS Mean,Optimized Mean,Paired Difference,Difference CI Lower,Difference CI Upper
Morning,Mean Completed Wait,3.657273690780055,3.488068196657662,-0.16920549412239333,-0.2201416605859387,-0.11826932765884796
Morning,P95 Completed Wait,9.080727483572442,7.146190610752061,-1.9345368728203818,-2.055736121841444,-1.8133376237993197
Morning,Peak Queue,17.266666666666666,17.5,0.23333333333333334,-0.8076104905016466,1.2742771571683134
Morning,Final Backlog,2.1666666666666665,1.8333333333333333,-0.3333333333333333,-0.5374641150875417,-0.1292025515791249
Evening,Mean Completed Wait,3.651138568199204,3.5321986491301183,-0.11893991906908678,-0.19463391358096443,-0.04324592455720913
Evening,P95 Completed Wait,7.823499736568178,7.473238068140844,-0.35026166842733353,-0.5557390353002689,-0.14478430155439811
Evening,Peak Queue,9.866666666666667,8.633333333333333,-1.2333333333333334,-1.819107423890074,-0.6475592427765927
Evening,Final Backlog,3.2333333333333334,0.9666666666666667,-2.2666666666666666,-2.9239941165511887,-1.6093392167821443
